descriptor,benefit_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
graph_components_C1,delta_C1_gt_to_pred,-0.06517189678415543,0.7569367684764675,0.016200646385623234,0.9387341616901819,25
graph_components_C1,delta_C2_chamfer,0.11039976858747906,0.5993405450842777,0.024686699254283025,0.9067557282289687,25
graph_components_C1,delta_C2_equal_cardinality_chamfer,0.12426623029066776,0.5539692675332318,0.10337555312731016,0.6229056332747741,25
graph_components_C1,delta_C2_fscore_2x,0.16191290984161028,0.4393797485831244,0.11539211602412876,0.582825177573986,25
graph_components_C1,delta_C2_gt_to_pred,-0.06517189678415543,0.7569367684764675,0.016200646385623234,0.9387341616901819,25
graph_components_C1,delta_C3_chamfer,0.18281958887953936,0.3817344256053063,0.16894959802149945,0.4194773080020048,25
graph_components_C1,delta_C3_equal_cardinality_chamfer,0.095904573401708,0.6483707462471445,0.08216042095566069,0.6962172895080063,25
graph_components_C1,delta_C3_fscore_2x,0.09299708699392292,0.6583877293475636,0.09110230917363218,0.664946750875492,25
graph_components_C1,delta_C3_gt_to_pred,0.0009858970862177434,0.9962682290738585,0.06325966683910025,0.7638675230915128,25
graph_components_C3,delta_C1_chamfer,0.0277969255437224,0.8950679511827571,0.12194653043429185,0.5614488464000233,25
graph_components_C3,delta_C1_equal_cardinality_chamfer,0.04680020935500867,0.8242030126256636,0.0042315830750069726,0.9839837615836519,25
graph_components_C3,delta_C1_fscore_2x,0.25378821859858497,0.22089916418646105,0.35644186577648046,0.08030216555764022,25
graph_components_C3,delta_C1_gt_to_pred,-0.23923106687979906,0.24942911404697854,-0.02538949845004184,0.9041129769349404,25
graph_components_C3,delta_C2_chamfer,0.0277969255437224,0.8950679511827571,0.12194653043429185,0.5614488464000233,25
graph_components_C3,delta_C2_equal_cardinality_chamfer,0.07900195208038976,0.7073821013064836,0.26774380183680485,0.19567969604806773,25
graph_components_C3,delta_C2_fscore_2x,0.25378821859858497,0.22089916418646105,0.35644186577648046,0.08030216555764022,25
graph_components_C3,delta_C2_gt_to_pred,-0.23923106687979906,0.24942911404697854,-0.02538949845004184,0.9041129769349404,25
graph_components_C3,delta_C3_chamfer,0.005266252395359698,0.9800682979473682,0.24273899275721816,0.24234454536977457,25
graph_components_C3,delta_C3_equal_cardinality_chamfer,0.02161878229496631,0.9183030120171907,0.17272552733437554,0.4090051272086218,25
graph_components_C3,delta_C3_fscore_2x,0.2299365231827175,0.26884727076033554,0.46198275268095984,0.020075368208654406,25
graph_components_C3,delta_C3_gt_to_pred,-0.06982072384286589,0.7401642370460929,0.24158492464585263,0.24466055302536843,25
largest_component_fraction,delta_C1_chamfer,-0.19361758976233054,0.3537487036018431,-0.29384615384615387,0.1539514856063788,25
largest_component_fraction,delta_C1_equal_cardinality_chamfer,-0.13226193753050386,0.5285431654307357,-0.20230769230769227,0.3321314401444695,25
largest_component_fraction,delta_C1_fscore_2x,-0.3743835928981082,0.06521346559480752,-0.28648862188764024,0.16501147954870832,25
largest_component_fraction,delta_C1_gt_to_pred,-0.20673417060946964,0.3214336390711382,-0.33230769230769236,0.10459374936681606,25
largest_component_fraction,delta_C2_chamfer,-0.19361758976233054,0.3537487036018431,-0.29384615384615387,0.1539514856063788,25
largest_component_fraction,delta_C2_equal_cardinality_chamfer,-0.19731431990100146,0.3444535085530559,-0.34615384615384615,0.09007129607094418,25
largest_component_fraction,delta_C2_fscore_2x,-0.3743835928981082,0.06521346559480752,-0.28648862188764024,0.16501147954870832,25
largest_component_fraction,delta_C2_gt_to_pred,-0.20673417060946964,0.3214336390711382,-0.33230769230769236,0.10459374936681606,25
largest_component_fraction,delta_C3_chamfer,-0.276478331423346,0.18093834814135068,-0.25153846153846154,0.22515909919668442,25
largest_component_fraction,delta_C3_equal_cardinality_chamfer,-0.26137460966826065,0.20693322227895336,-0.19999999999999998,0.33779267399782437,25
largest_component_fraction,delta_C3_fscore_2x,-0.40678517182482665,0.043588632818782225,-0.3471902491435943,0.08904861159060695,25
largest_component_fraction,delta_C3_gt_to_pred,-0.3688363216867968,0.06962430457807099,-0.4392307692307692,0.02803874858736798,25
boundary_support_count,delta_C1_chamfer,0.054489450375567496,0.7958737206366271,0.008461538461538461,0.9679797010687115,25
boundary_support_count,delta_C1_equal_cardinality_chamfer,0.05552424591650548,0.7920795190179084,-0.07692307692307691,0.7147630179938114,25
boundary_support_count,delta_C1_fscore_2x,0.16103066927869825,0.441910202048574,0.15212468601580895,0.46788543919538234,25
boundary_support_count,delta_C1_gt_to_pred,-0.23698003606352472,0.2540456650921272,-0.15692307692307692,0.45379350880333025,25
boundary_support_count,delta_C2_chamfer,0.054489450375567496,0.7958737206366271,0.008461538461538461,0.9679797010687115,25
boundary_support_count,delta_C2_equal_cardinality_chamfer,0.06078699692137685,0.7728557253698564,0.059230769230769226,0.778527334838113,25
boundary_support_count,delta_C2_fscore_2x,0.16103066927869825,0.441910202048574,0.15212468601580895,0.46788543919538234,25
boundary_support_count,delta_C2_gt_to_pred,-0.23698003606352472,0.2540456650921272,-0.15692307692307692,0.45379350880333025,25
boundary_support_count,delta_C3_chamfer,0.0736165709194771,0.7265537721522984,0.20461538461538462,0.32652778321591586,25
boundary_support_count,delta_C3_equal_cardinality_chamfer,0.06750231991340698,0.7485149422734314,0.1346153846153846,0.521166503416824,25
boundary_support_count,delta_C3_fscore_2x,0.11977815572975661,0.5684814169659564,0.2047729629095257,0.32614724656543576,25
boundary_support_count,delta_C3_gt_to_pred,-0.12189591343086958,0.5616125610953597,0.07307692307692308,0.7284839479101775,25
estimated_missing_surface_area,delta_C1_chamfer,0.2639766395147598,0.2022840316917682,0.3678191715069236,0.07045727803451764,25
estimated_missing_surface_area,delta_C1_equal_cardinality_chamfer,0.09315583134862496,0.6578393186427944,0.3497038804048696,0.08660451274705548,25
estimated_missing_surface_area,delta_C1_fscore_2x,0.014852666636086673,0.9438235792687926,-0.050602768304115635,0.8101643112925606,25
estimated_missing_surface_area,delta_C1_gt_to_pred,0.6852699639814308,0.00015688276194685775,0.570237859038571,0.0029184333780685693,25
estimated_missing_surface_area,delta_C2_chamfer,0.2639766395147598,0.2022840316917682,0.3678191715069236,0.07045727803451764,25
estimated_missing_surface_area,delta_C2_equal_cardinality_chamfer,0.1989042782545257,0.34050082209323473,0.2733046092353373,0.1862028402354114,25
