scene,roi,known_case,method,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt_mean,gt_to_pred_mean,symmetric_chamfer,equal_cardinality_count,equal_cardinality_pred_to_gt,equal_cardinality_gt_to_pred,equal_cardinality_chamfer,normal_angular_error,appearance_rmse,boundary_seam_error,precision_0p5,recall_0p5,fscore_0p5,precision_1p0,recall_1p0,fscore_1p0,precision_2p0,recall_2p0,fscore_2p0,runtime_s
ramen,ramen_sample_009,False,C0,77,77,56,0.03166277006183881,0.09004939874618934,0.06085608440401408,56,0.03175961685485993,0.09028198399199246,0.0610208004234262,62.65262985229492,0.5251263014708676,0.13247513319080106,0.0,0.0,0.0,0.0,0.0,0.0,0.16883116883116883,0.05357142857142857,0.08133472367012438,6.816332101821899
ramen,ramen_sample_009,False,C1,77,77,56,0.033979682064360986,0.05745792705341373,0.045718804558887355,56,0.03477394811703019,0.05948935431907963,0.04713165121805491,63.03310012817383,0.43743495868782456,0.30172310259482876,0.0,0.0,0.0,0.05194805194805195,0.017857142857142856,0.026578073089320246,0.19480519480519481,0.05357142857142857,0.08403361344503982,6.727774143218994
ramen,ramen_sample_009,False,C2,77,77,56,0.033979682064360986,0.05745792705341373,0.045718804558887355,56,0.03533929615359478,0.05835219315516728,0.04684574465438103,63.03310012817383,0.43740993864348665,0.30148689746155305,0.0,0.0,0.0,0.05194805194805195,0.017857142857142856,0.026578073089320246,0.19480519480519481,0.05357142857142857,0.08403361344503982,6.78930401802063
ramen,ramen_sample_009,False,C3,77,77,56,0.05168890734185301,0.04642409774787264,0.04905650254486282,56,0.052403789455704106,0.04965889371109089,0.0510313415833975,60.750030517578125,0.75269427791873,0.6652095804702054,0.0,0.0,0.0,0.0,0.0,0.0,0.07792207792207792,0.14285714285714285,0.10084033613399704,6.7042200565338135
ramen,ramen_sample_010,False,C0,112,112,128,0.006151287115813929,0.02099195434159637,0.01357162072870515,112,0.006477200031600678,0.020481441453177984,0.01347932074238933,58.52772903442383,0.60449055710271,0.4177703108742093,0.42857142857142855,0.078125,0.13215859030810923,0.9107142857142857,0.2578125,0.40186246418303717,1.0,0.4921875,0.6596858638739034,6.835696458816528
ramen,ramen_sample_010,False,C1,112,112,128,0.006864835914662025,0.01736425244391652,0.012114544179289272,112,0.0069297372712075695,0.017051173914603823,0.011990455592905696,57.67716598510742,0.6279958833445354,0.4577224022770229,0.36607142857142855,0.1015625,0.15900954653903945,0.8571428571428571,0.328125,0.47457627118604023,0.9821428571428571,0.6640625,0.7923728813554507,6.736159324645996
ramen,ramen_sample_010,False,C2,112,112,128,0.006864835914662025,0.01736425244391652,0.012114544179289272,112,0.007071091442110736,0.017367252356690698,0.012219171899400716,57.67716598510742,0.5613302884979651,0.41923894908412035,0.36607142857142855,0.1015625,0.15900954653903945,0.8571428571428571,0.328125,0.47457627118604023,0.9821428571428571,0.6640625,0.7923728813554507,6.8588526248931885
ramen,ramen_sample_010,False,C3,112,112,128,0.019170934211059996,0.013204333027757073,0.016187633619408535,112,0.01923211473637821,0.012958101567900742,0.016095108152139475,59.16713333129883,1.2310187588506403,1.0364033774648713,0.0625,0.046875,0.05357142857093877,0.30357142857142855,0.3203125,0.3117173524145272,0.6785714285714286,0.8984375,0.7731776362344708,6.832677841186523
ramen,ramen_sample_011,False,C0,123,123,101,0.009619909423307425,0.016638691020610625,0.013129300221959024,101,0.0092318104527433,0.016754663089865434,0.012993236771304366,55.51252746582031,1.3900958258143663,0.6872248682898621,0.13008130081300814,0.04950495049504951,0.07171671895970823,0.5772357723577236,0.21782178217821782,0.3162903715699171,1.0,0.7425742574257426,0.8522727272722381,6.896193981170654
ramen,ramen_sample_011,False,C1,123,123,101,0.010215945282325296,0.015502616551652174,0.012859280916988736,101,0.010011917516914215,0.01558255026908797,0.012797233893001091,54.13164138793945,1.3425605566473797,0.7186722218151049,0.13008130081300814,0.0594059405940594,0.0815632965161371,0.5284552845528455,0.2871287128712871,0.3720884326880554,0.983739837398374,0.7722772277227723,0.8652761861099817,6.732741594314575
ramen,ramen_sample_011,False,C2,123,123,101,0.010215945282325296,0.015502616551652174,0.012859280916988736,101,0.010467090204782372,0.01565505759131885,0.013061073898050612,54.13164138793945,1.760946797537384,1.0857949020050564,0.13008130081300814,0.0594059405940594,0.0815632965161371,0.5284552845528455,0.2871287128712871,0.3720884326880554,0.983739837398374,0.7722772277227723,0.8652761861099817,6.848834991455078
ramen,ramen_sample_011,False,C3,123,123,101,0.024366359818513077,0.013266978973215512,0.018816669395864294,101,0.02438597245117789,0.013532205510480825,0.018959088980829358,57.58599853515625,1.2365966027148834,1.429097708271911,0.016260162601626018,0.019801980198019802,0.017857142856647683,0.18699186991869918,0.3564356435643564,0.245296993037617,0.45528455284552843,0.9207920792079208,0.6093009651940585,6.94517707824707
ramen,ramen_sample_012,False,C0,133,133,186,0.006203138580608609,0.013321525059925619,0.009762331820267114,133,0.006321903984960354,0.01311440747462711,0.009718155729793732,42.54409408569336,0.471024803682998,0.4817157055721975,0.42857142857142855,0.26881720430107525,0.33039647577045134,0.849624060150376,0.489247311827957,0.6209353582314737,1.0,0.7258064516129032,0.8411214953266154,3.9149467945098877
ramen,ramen_sample_012,False,C1,133,133,186,0.006250729045822204,0.011382986779509682,0.008816857912665944,133,0.007115605621240947,0.01172531303790185,0.009420459329571399,42.12171173095703,0.5117984550817893,0.5806461110645503,0.49624060150375937,0.27956989247311825,0.35764902042471614,0.8571428571428571,0.5376344086021505,0.6607929515413763,1.0,0.8763440860215054,0.9340974212029405,3.9390170574188232
ramen,ramen_sample_012,False,C2,133,133,186,0.006250729045822204,0.011382986779509682,0.008816857912665944,133,0.006808036339128091,0.011576160868836413,0.009192098603982252,42.12171173095703,0.5383518046646907,0.5609307170264192,0.49624060150375937,0.27956989247311825,0.35764902042471614,0.8571428571428571,0.5376344086021505,0.6607929515413763,1.0,0.8763440860215054,0.9340974212029405,3.954765796661377
ramen,ramen_sample_012,False,C3,133,133,186,0.0056172893431004015,0.009261848503356086,0.0074395689232282436,133,0.005808234551398976,0.009580260721325225,0.007694247636362101,23.186098098754883,0.8850234405219775,0.7346111192468098,0.5112781954887218,0.22580645161290322,0.31326094109862074,0.9624060150375939,0.6451612903225806,0.7724803862397125,0.9849624060150376,0.9838709677419355,0.9844163843542891,4.0971879959106445
ramen,ramen_sample_013,False,C0,197,197,56,0.16841936520675216,0.12913560955078066,0.1487774873787664,56,0.1611241715303357,0.1302439342748261,0.1456840529025809,64.77323150634766,0.7389983967872952,0.5633718112237308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9624061584472656
ramen,ramen_sample_013,False,C1,197,197,56,0.16548408697817454,0.08906125010854186,0.1272726685433582,56,0.16245387213163573,0.11218668411675063,0.13732027812419317,70.75608825683594,0.7184966967943232,0.7180082778324456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9616751670837402
ramen,ramen_sample_013,False,C2,197,197,56,0.16548408697817454,0.08906125010854186,0.1272726685433582,56,0.16093372166035635,0.10226988383774575,0.13160180274905106,70.75608825683594,0.7343212714637839,0.7425570409558229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.775641918182373
